item_id,item_name,category,veg_flag,price,combo_group,substitute_group
2520,Mutton Saag Wala,Sides,Non-Veg,150.0,sides,sides
2521,Mutton Keema Masala,Curry,Non-Veg,150.0,curry,curry
2522,Mutton Korma,Sides,Non-Veg,150.0,sides,sides
2523,Punjabi Mutton Masala,Curry,Non-Veg,150.0,curry,curry
2524,Kadhai Mutton,Sides,Non-Veg,150.0,sides,sides
2525,Kashmiri Lal Ghosh,Sides,Non-Veg,150.0,sides,sides
2526,Mutton Lahori,Sides,Non-Veg,150.0,sides,sides
2527,Murgh Musallam,Sides,Non-Veg,150.0,sides,sides
2528,Mutton Handi,Sides,Non-Veg,150.0,sides,sides
2529,Mutton Jwalaji,Sides,Non-Veg,150.0,sides,sides
2530,Meat Tariwala,Sides,Non-Veg,150.0,sides,sides
2531,Bx Special Mutton,Sides,Non-Veg,150.0,sides,sides
2532,Prawn Curry,Curry,Non-Veg,150.0,curry,curry
2533,Kabuli Ghosh,Sides,Non-Veg,150.0,sides,sides
2534,Prawn Masala,Curry,Non-Veg,150.0,curry,curry
2535,Butter Chicken,Sides,Non-Veg,150.0,sides,sides
2536,Kadhai Chicken,Sides,Non-Veg,150.0,sides,sides
2537,Royal Butter Chicken,Sides,Non-Veg,150.0,sides,sides
2538,Chicken Rara,Sides,Non-Veg,150.0,sides,sides
2539,Patiala Chicken,Sides,Non-Veg,150.0,sides,sides
2540,Chicken Achari,Sides,Non-Veg,150.0,sides,sides
2541,Handi Chicken,Sides,Non-Veg,150.0,sides,sides
2542,Chicken Bharta,Sides,Non-Veg,150.0,sides,sides
2543,Chicken Home Style,Sides,Non-Veg,150.0,sides,sides
2544,Hariyali Murgh Masala,Curry,Non-Veg,150.0,curry,curry
2545,Today Spl Indian Curry,Curry,Veg,150.0,curry,curry
2546,Singapore Chilli Prawns,Chinese,Non-Veg,150.0,chinese,chinese
2547,Prawn Manchurian,Chinese,Non-Veg,150.0,chinese,chinese
